j1_ranking_normalizado,j1_porc_victorias,j1_aces_normalizado,j1_media_1servicioganado,j1_media_juegosganadosconservicio,j1_media_breakpointganados,j1_media_juegosganadosdevolviendo,j1_racha,j2_ranking_normalizado,j2_porc_victorias,j2_aces_normalizado,j2_media_1servicioganado,j2_media_juegosganadosconservicio,j2_media_breakpointganados,j2_media_juegosganadosdevolviendo,j2_racha,clase
0.2,0.78,0.52,0.74,0.84,0.41,0.31,0.5,0.4,0.67,0.35,0.72,0.81,0.42,0.27,0.67,W
0.2,0.78,0.52,0.74,0.84,0.41,0.31,0.5,0.2,0.73,0.65,0.77,0.87,0.42,0.25,0.5,W
0.2,0.78,0.52,0.74,0.84,0.41,0.31,0.5,0.2,0.86,0.51,0.75,0.87,0.46,0.35,0.83,W
0.2,0.78,0.52,0.74,0.84,0.41,0.31,0.5,0.4,0.63,0.7,0.8,0.85,0.38,0.18,0.67,W
0.2,0.78,0.52,0.74,0.84,0.41,0.31,0.5,0.6,0.51,0.32,0.74,0.82,0.37,0.21,0.5,L
0.2,0.78,0.52,0.74,0.84,0.41,0.31,0.5,0.8,0.35,0.03,0.61,0.63,0.45,0.3,0.33,W
0.2,0.78,0.52,0.74,0.84,0.41,0.31,0.5,0.4,0.67,1.0,0.82,0.93,0.39,0.15,0.5,L
0.2,0.78,0.52,0.74,0.84,0.41,0.31,0.5,0.4,0.62,0.4,0.73,0.82,0.43,0.25,0.5,W
0.2,0.78,0.52,0.74,0.84,0.41,0.31,0.5,0.6,0.46,0.14,0.67,0.75,0.43,0.23,0.67,W
0.2,0.78,0.52,0.74,0.84,0.41,0.31,0.5,0.6,0.57,0.38,0.73,0.81,0.41,0.23,0.67,W
0.2,0.78,0.52,0.74,0.84,0.41,0.31,0.5,0.4,0.7,0.65,0.77,0.86,0.39,0.22,0.33,W
0.2,0.78,0.52,0.74,0.84,0.41,0.31,0.5,0.2,0.86,0.51,0.75,0.87,0.46,0.35,0.83,W
0.2,0.78,0.52,0.74,0.84,0.41,0.31,0.5,0.2,0.85,0.66,0.78,0.91,0.42,0.26,0.67,W
0.2,0.78,0.52,0.74,0.84,0.41,0.31,0.5,0.6,0.47,0.09,0.65,0.74,0.45,0.27,0.5,W
0.2,0.78,0.52,0.74,0.84,0.41,0.31,0.5,0.8,0.5,0.5,0.79,0.87,0.28,0.11,0.83,W
0.2,0.78,0.52,0.74,0.84,0.41,0.31,0.5,0.6,0.57,0.38,0.73,0.81,0.41,0.23,0.67,W
0.2,0.78,0.52,0.74,0.84,0.41,0.31,0.5,0.4,0.67,0.35,0.72,0.81,0.42,0.27,0.67,W
0.2,0.78,0.52,0.74,0.84,0.41,0.31,0.5,0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,W
0.2,0.78,0.52,0.74,0.84,0.41,0.31,0.5,0.2,0.68,0.65,0.76,0.86,0.42,0.23,0.33,W
0.2,0.78,0.52,0.74,0.84,0.41,0.31,0.5,0.2,0.85,0.66,0.78,0.91,0.42,0.26,0.67,L
0.2,0.78,0.52,0.74,0.84,0.41,0.31,0.5,1.0,0.44,0.27,0.72,0.79,0.41,0.19,0.33,L
0.2,0.78,0.52,0.74,0.84,0.41,0.31,0.5,0.8,0.41,0.09,0.67,0.71,0.4,0.19,0.33,W
0.2,0.78,0.52,0.74,0.84,0.41,0.31,0.5,0.6,0.46,0.14,0.67,0.75,0.43,0.23,0.67,W
0.2,0.78,0.52,0.74,0.84,0.41,0.31,0.5,0.8,0.47,0.1,0.67,0.8,0.39,0.21,0.33,W
0.2,0.78,0.52,0.74,0.84,0.41,0.31,0.5,0.2,0.65,0.35,0.73,0.84,0.42,0.27,0.67,W
0.2,0.78,0.52,0.74,0.84,0.41,0.31,0.5,0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,L
0.2,0.78,0.52,0.74,0.84,0.41,0.31,0.5,0.8,0.55,0.12,0.7,0.79,0.39,0.24,0.17,W
0.2,0.78,0.52,0.74,0.84,0.41,0.31,0.5,0.2,0.65,0.35,0.73,0.84,0.42,0.27,0.67,L
0.2,0.78,0.52,0.74,0.84,0.41,0.31,0.5,1.0,0.38,0.26,0.71,0.8,0.33,0.16,0.5,W
0.2,0.78,0.52,0.74,0.84,0.41,0.31,0.5,0.8,0.47,0.1,0.67,0.8,0.39,0.21,0.33,W
0.2,0.78,0.52,0.74,0.84,0.41,0.31,0.5,0.4,0.67,1.0,0.82,0.93,0.39,0.15,0.5,L
0.2,0.78,0.52,0.74,0.84,0.41,0.31,0.5,0.6,0.43,0.42,0.71,0.74,0.41,0.25,0.33,W
0.2,0.78,0.52,0.74,0.84,0.41,0.31,0.5,0.6,0.53,0.33,0.71,0.79,0.42,0.24,0.5,W
0.2,0.78,0.52,0.74,0.84,0.41,0.31,0.5,0.2,0.73,0.65,0.77,0.87,0.42,0.25,0.5,L
0.2,0.78,0.52,0.74,0.84,0.41,0.31,0.5,0.8,0.45,0.11,0.66,0.71,0.41,0.22,0.67,W
0.2,0.78,0.52,0.74,0.84,0.41,0.31,0.5,0.4,0.67,1.0,0.82,0.93,0.39,0.15,0.5,W
0.2,0.78,0.52,0.74,0.84,0.41,0.31,0.5,0.4,0.62,0.28,0.69,0.77,0.41,0.29,0.83,W
0.2,0.78,0.52,0.74,0.84,0.41,0.31,0.5,0.2,0.65,0.63,0.75,0.83,0.4,0.23,0.33,W
0.2,0.78,0.52,0.74,0.84,0.41,0.31,0.5,0.2,0.84,0.16,0.75,0.88,0.49,0.38,0.67,W
0.2,0.78,0.52,0.74,0.84,0.41,0.31,0.5,0.2,0.86,0.51,0.75,0.87,0.46,0.35,0.83,L
0.2,0.78,0.52,0.74,0.84,0.41,0.31,0.5,0.8,0.47,0.16,0.68,0.73,0.43,0.23,0.33,L
0.2,0.78,0.52,0.74,0.84,0.41,0.31,0.5,1.0,0.39,0.09,0.66,0.75,0.33,0.19,0.33,W
0.2,0.78,0.52,0.74,0.84,0.41,0.31,0.5,1.0,0.4,0.03,0.69,0.78,0.24,0.13,0.5,W
0.2,0.78,0.52,0.74,0.84,0.41,0.31,0.5,0.2,0.73,0.65,0.77,0.87,0.42,0.25,0.5,W
0.2,0.78,0.52,0.74,0.84,0.41,0.31,0.5,0.2,0.86,0.51,0.75,0.87,0.46,0.35,0.83,W
0.2,0.78,0.52,0.74,0.84,0.41,0.31,0.5,0.2,0.85,0.66,0.78,0.91,0.42,0.26,0.67,L
0.2,0.78,0.52,0.74,0.84,0.41,0.31,0.5,0.8,0.44,0.28,0.71,0.81,0.4,0.18,0.33,W
0.2,0.78,0.52,0.74,0.84,0.41,0.31,0.5,0.8,0.4,0.17,0.71,0.8,0.37,0.21,0.5,W
0.2,0.78,0.52,0.74,0.84,0.41,0.31,0.5,0.8,0.47,0.22,0.73,0.82,0.3,0.13,0.83,W
0.2,0.78,0.52,0.74,0.84,0.41,0.31,0.5,1.0,0.48,0.08,0.63,0.69,0.43,0.24,0.33,W
0.2,0.78,0.52,0.74,0.84,0.41,0.31,0.5,0.4,0.65,0.13,0.69,0.78,0.39,0.31,0.67,W
0.2,0.78,0.52,0.74,0.84,0.41,0.31,0.5,0.2,0.86,0.51,0.75,0.87,0.46,0.35,0.83,L
0.2,0.78,0.52,0.74,0.84,0.41,0.31,0.5,1.0,0.48,0.08,0.63,0.69,0.43,0.24,0.33,W
0.2,0.78,0.52,0.74,0.84,0.41,0.31,0.5,0.8,0.47,0.56,0.81,0.86,0.33,0.12,0.67,W
0.2,0.78,0.52,0.74,0.84,0.41,0.31,0.5,0.6,0.57,0.38,0.73,0.81,0.41,0.23,0.67,W
0.2,0.78,0.52,0.74,0.84,0.41,0.31,0.5,0.8,0.47,0.24,0.67,0.77,0.33,0.19,0.33,W
0.2,0.78,0.52,0.74,0.84,0.41,0.31,0.5,0.4,0.57,0.46,0.75,0.81,0.4,0.23,0.67,W
0.2,0.84,0.16,0.75,0.88,0.49,0.38,0.67,0.6,0.57,0.26,0.7,0.79,0.38,0.23,0.5,W
0.2,0.84,0.16,0.75,0.88,0.49,0.38,0.67,0.8,0.51,0.25,0.74,0.82,0.42,0.16,0.83,L
0.2,0.84,0.16,0.75,0.88,0.49,0.38,0.67,0.6,0.49,0.19,0.71,0.75,0.35,0.17,0.83,W
0.2,0.84,0.16,0.75,0.88,0.49,0.38,0.67,0.4,0.59,0.5,0.74,0.85,0.44,0.22,0.33,L
0.2,0.84,0.16,0.75,0.88,0.49,0.38,0.67,0.8,0.51,0.05,0.69,0.72,0.42,0.17,0.33,W
0.2,0.84,0.16,0.75,0.88,0.49,0.38,0.67,0.6,0.48,0.4,0.71,0.81,0.39,0.19,0.33,W
0.2,0.84,0.16,0.75,0.88,0.49,0.38,0.67,0.4,0.67,0.09,0.67,0.77,0.43,0.31,0.33,W
0.2,0.84,0.16,0.75,0.88,0.49,0.38,0.67,0.4,0.7,0.65,0.77,0.86,0.39,0.22,0.33,W
0.2,0.84,0.16,0.75,0.88,0.49,0.38,0.67,0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,W
0.2,0.84,0.16,0.75,0.88,0.49,0.38,0.67,0.2,0.86,0.51,0.75,0.87,0.46,0.35,0.83,W
0.2,0.84,0.16,0.75,0.88,0.49,0.38,0.67,0.6,0.51,0.18,0.71,0.78,0.4,0.21,0.33,W
0.2,0.84,0.16,0.75,0.88,0.49,0.38,0.67,0.6,0.52,0.19,0.69,0.74,0.35,0.23,0.5,W
0.2,0.84,0.16,0.75,0.88,0.49,0.38,0.67,0.2,0.73,0.65,0.77,0.87,0.42,0.25,0.5,W
0.2,0.84,0.16,0.75,0.88,0.49,0.38,0.67,0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,W
0.2,0.84,0.16,0.75,0.88,0.49,0.38,0.67,0.2,0.86,0.51,0.75,0.87,0.46,0.35,0.83,W
0.2,0.84,0.16,0.75,0.88,0.49,0.38,0.67,0.6,0.47,0.09,0.65,0.74,0.45,0.27,0.5,W
0.2,0.84,0.16,0.75,0.88,0.49,0.38,0.67,0.4,0.59,0.25,0.7,0.81,0.4,0.24,0.5,L
0.2,0.84,0.16,0.75,0.88,0.49,0.38,0.67,0.8,0.47,0.16,0.68,0.73,0.43,0.23,0.33,W
0.2,0.84,0.16,0.75,0.88,0.49,0.38,0.67,0.2,0.65,0.63,0.75,0.83,0.4,0.23,0.33,W
0.2,0.84,0.16,0.75,0.88,0.49,0.38,0.67,0.4,0.59,0.25,0.7,0.81,0.4,0.24,0.5,W
0.2,0.84,0.16,0.75,0.88,0.49,0.38,0.67,0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,W
0.2,0.84,0.16,0.75,0.88,0.49,0.38,0.67,0.6,0.46,0.14,0.67,0.75,0.43,0.23,0.67,W
0.2,0.84,0.16,0.75,0.88,0.49,0.38,0.67,1.0,0.48,0.08,0.63,0.69,0.43,0.24,0.33,W
0.2,0.84,0.16,0.75,0.88,0.49,0.38,0.67,0.4,0.62,0.4,0.73,0.82,0.43,0.25,0.5,W
0.2,0.84,0.16,0.75,0.88,0.49,0.38,0.67,0.4,0.62,0.28,0.69,0.77,0.41,0.29,0.83,W
0.2,0.84,0.16,0.75,0.88,0.49,0.38,0.67,0.2,0.86,0.51,0.75,0.87,0.46,0.35,0.83,W
0.2,0.84,0.16,0.75,0.88,0.49,0.38,0.67,0.8,0.47,0.1,0.67,0.8,0.39,0.21,0.33,W
0.2,0.84,0.16,0.75,0.88,0.49,0.38,0.67,0.6,0.51,0.21,0.7,0.79,0.41,0.22,0.67,W
0.2,0.84,0.16,0.75,0.88,0.49,0.38,0.67,0.4,0.65,0.13,0.69,0.78,0.39,0.31,0.67,W
0.2,0.84,0.16,0.75,0.88,0.49,0.38,0.67,0.2,0.68,0.65,0.76,0.86,0.42,0.23,0.33,W
0.2,0.84,0.16,0.75,0.88,0.49,0.38,0.67,0.2,0.78,0.52,0.74,0.84,0.41,0.31,0.5,L
0.2,0.84,0.16,0.75,0.88,0.49,0.38,0.67,0.8,0.43,0.18,0.74,0.82,0.37,0.16,0.5,W
0.2,0.84,0.16,0.75,0.88,0.49,0.38,0.67,0.6,0.52,0.19,0.69,0.74,0.35,0.23,0.5,W
0.2,0.84,0.16,0.75,0.88,0.49,0.38,0.67,0.4,0.57,0.46,0.75,0.81,0.4,0.23,0.67,W
0.2,0.84,0.16,0.75,0.88,0.49,0.38,0.67,0.8,0.55,0.12,0.7,0.79,0.39,0.24,0.17,W
0.2,0.84,0.16,0.75,0.88,0.49,0.38,0.67,0.2,0.85,0.66,0.78,0.91,0.42,0.26,0.67,L
0.2,0.84,0.16,0.75,0.88,0.49,0.38,0.67,0.4,0.66,0.29,0.75,0.82,0.38,0.24,0.67,W
0.2,0.84,0.16,0.75,0.88,0.49,0.38,0.67,0.6,0.49,0.19,0.71,0.75,0.35,0.17,0.83,W
0.2,0.84,0.16,0.75,0.88,0.49,0.38,0.67,0.6,0.48,0.54,0.77,0.86,0.36,0.15,0.5,W
0.2,0.84,0.16,0.75,0.88,0.49,0.38,0.67,0.2,0.73,0.65,0.77,0.87,0.42,0.25,0.5,W
0.2,0.84,0.16,0.75,0.88,0.49,0.38,0.67,0.2,0.85,0.66,0.78,0.91,0.42,0.26,0.67,W
0.2,0.84,0.16,0.75,0.88,0.49,0.38,0.67,0.2,0.86,0.51,0.75,0.87,0.46,0.35,0.83,L
0.2,0.84,0.16,0.75,0.88,0.49,0.38,0.67,0.4,0.59,0.5,0.74,0.85,0.44,0.22,0.33,W
0.2,0.84,0.16,0.75,0.88,0.49,0.38,0.67,0.4,0.59,0.23,0.71,0.8,0.41,0.26,0.5,W
0.2,0.84,0.16,0.75,0.88,0.49,0.38,0.67,0.8,0.69,0.2,0.71,0.77,0.42,0.29,0.83,L
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.6,0.51,0.21,0.7,0.79,0.41,0.22,0.67,W
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.2,0.73,0.65,0.77,0.87,0.42,0.25,0.5,W
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.2,0.79,0.59,0.75,0.87,0.43,0.25,0.5,W
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.2,0.85,0.66,0.78,0.91,0.42,0.26,0.67,L
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.2,0.65,0.63,0.75,0.83,0.4,0.23,0.33,W
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.6,0.52,0.19,0.69,0.74,0.35,0.23,0.5,W
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.4,0.62,0.4,0.73,0.82,0.43,0.25,0.5,W
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.2,0.68,0.65,0.76,0.86,0.42,0.23,0.33,W
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.8,0.47,0.22,0.73,0.82,0.3,0.13,0.83,W
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.6,0.69,0.16,0.82,0.89,0.43,0.16,1.0,W
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.8,0.42,0.06,0.67,0.74,0.42,0.17,0.67,W
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.8,0.44,0.17,0.66,0.74,0.42,0.24,0.33,W
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.4,0.7,0.65,0.77,0.86,0.39,0.22,0.33,W
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.8,0.41,0.32,0.71,0.73,0.38,0.2,0.83,W
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.4,0.57,0.46,0.75,0.81,0.4,0.23,0.67,W
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.8,0.52,0.14,0.72,0.78,0.41,0.17,0.83,L
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,1.0,0.3,0.09,0.65,0.71,0.37,0.22,0.67,W
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.8,0.61,0.15,0.75,0.8,0.4,0.17,0.67,W
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.6,0.53,0.33,0.71,0.79,0.42,0.24,0.5,L
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.4,0.63,0.7,0.8,0.85,0.38,0.18,0.67,W
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.4,0.67,1.0,0.78,0.92,0.31,0.11,0.33,W
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.6,0.51,0.63,0.75,0.85,0.35,0.16,0.67,W
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.8,0.61,0.15,0.75,0.8,0.4,0.17,0.67,W
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.8,0.53,0.15,0.72,0.76,0.43,0.22,0.5,W
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.2,0.65,0.35,0.73,0.84,0.42,0.27,0.67,W
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.2,0.65,0.63,0.75,0.83,0.4,0.23,0.33,W
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.2,0.86,0.51,0.75,0.87,0.46,0.35,0.83,L
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.4,0.62,0.4,0.73,0.82,0.43,0.25,0.5,L
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,1.0,0.32,0.14,0.72,0.74,0.31,0.13,0.5,W
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.8,0.41,0.08,0.63,0.62,0.46,0.23,0.33,W
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.4,0.65,0.13,0.69,0.78,0.39,0.31,0.67,L
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.8,0.51,0.05,0.69,0.72,0.42,0.17,0.33,W
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,1.0,0.61,0.06,0.7,0.74,0.53,0.21,0.5,W
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.6,0.56,0.31,0.73,0.82,0.36,0.2,0.83,W
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.4,0.7,0.65,0.77,0.86,0.39,0.22,0.33,W
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,1.0,0.36,0.09,0.76,0.82,0.49,0.15,0.33,W
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,1.0,0.45,0.04,0.77,0.86,0.2,0.08,0.67,W
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.6,0.58,0.36,0.75,0.84,0.36,0.18,0.67,W
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.2,0.79,0.59,0.75,0.87,0.43,0.25,0.5,W
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.2,0.78,0.52,0.74,0.84,0.41,0.31,0.5,L
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.8,0.43,0.18,0.74,0.82,0.37,0.16,0.5,W
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.8,0.61,0.15,0.75,0.8,0.4,0.17,0.67,W
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.6,0.45,0.38,0.73,0.73,0.37,0.26,0.5,W
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,1.0,0.3,0.19,0.72,0.79,0.41,0.2,0.17,W
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.6,0.49,0.19,0.71,0.75,0.35,0.17,0.83,W
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.6,0.45,0.38,0.73,0.73,0.37,0.26,0.5,W
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.4,0.59,0.23,0.71,0.8,0.41,0.26,0.5,W
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.6,0.52,0.19,0.69,0.74,0.35,0.23,0.5,W
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.2,0.78,0.52,0.74,0.84,0.41,0.31,0.5,W
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.2,0.84,0.16,0.75,0.88,0.49,0.38,0.67,L
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.4,0.59,0.25,0.7,0.81,0.4,0.24,0.5,W
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.4,0.62,0.28,0.69,0.77,0.41,0.29,0.83,W
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.2,0.65,0.35,0.73,0.84,0.42,0.27,0.67,W
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.2,0.84,0.16,0.75,0.88,0.49,0.38,0.67,L
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.6,0.51,0.21,0.7,0.79,0.41,0.22,0.67,W
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.4,0.7,0.65,0.77,0.86,0.39,0.22,0.33,W
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.2,0.85,0.66,0.78,0.91,0.42,0.26,0.67,L
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.8,0.46,0.04,0.6,0.64,0.43,0.23,0.67,W
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.6,0.48,0.54,0.77,0.86,0.36,0.15,0.5,W
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.4,0.67,1.0,0.82,0.93,0.39,0.15,0.5,W
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.2,0.84,0.16,0.75,0.88,0.49,0.38,0.67,L
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.6,0.57,0.26,0.7,0.79,0.38,0.23,0.5,L
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,1.0,0.5,0.02,0.67,0.68,0.35,0.17,0.33,W
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.6,0.44,0.2,0.69,0.75,0.45,0.19,0.5,W
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.8,0.47,0.24,0.67,0.77,0.33,0.19,0.33,W
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.6,0.53,0.33,0.71,0.79,0.42,0.24,0.5,W
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.2,0.79,0.59,0.75,0.87,0.43,0.25,0.5,W
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.2,0.86,0.51,0.75,0.87,0.46,0.35,0.83,L
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.6,0.56,0.31,0.73,0.82,0.36,0.2,0.83,W
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.6,0.48,0.4,0.71,0.81,0.39,0.19,0.33,L
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.8,0.44,0.2,0.69,0.75,0.4,0.23,0.5,W
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.6,0.41,0.08,0.65,0.67,0.4,0.26,0.0,W
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.8,0.47,0.1,0.67,0.8,0.39,0.21,0.33,W
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.4,0.59,0.25,0.7,0.81,0.4,0.24,0.5,W
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.8,0.55,0.12,0.7,0.79,0.39,0.24,0.17,W
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.4,0.7,0.65,0.77,0.86,0.39,0.22,0.33,W
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,1.0,0.39,0.09,0.74,0.83,0.35,0.18,0.33,W
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,1.0,0.29,0.04,0.61,0.66,0.42,0.27,0.0,W
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.2,0.65,0.35,0.73,0.84,0.42,0.27,0.67,W
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.2,0.86,0.51,0.75,0.87,0.46,0.35,0.83,L
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.8,0.51,0.25,0.74,0.82,0.42,0.16,0.83,W
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.8,0.45,0.11,0.66,0.71,0.41,0.22,0.67,W
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.4,0.59,0.25,0.7,0.81,0.4,0.24,0.5,W
0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,0.8,0.42,0.06,0.67,0.74,0.42,0.17,0.67,W
0.2,0.73,0.65,0.77,0.87,0.42,0.25,0.5,0.4,0.7,0.65,0.77,0.86,0.39,0.22,0.33,W
0.2,0.73,0.65,0.77,0.87,0.42,0.25,0.5,0.2,0.82,0.28,0.73,0.85,0.44,0.31,0.83,L
0.2,0.73,0.65,0.77,0.87,0.42,0.25,0.5,0.2,0.78,0.52,0.74,0.84,0.41,0.31,0.5,L
0.2,0.73,0.65,0.77,0.87,0.42,0.25,0.5,0.2,0.68,0.65,0.76,0.86,0.42,0.23,0.33,W
0.2,0.73,0.65,0.77,0.87,0.42,0.25,0.5,0.2,0.86,0.51,0.75,0.87,0.46,0.35,0.83,L
0.2,0.73,0.65,0.77,0.87,0.42,0.25,0.5,0.4,0.56,0.27,0.71,0.78,0.44,0.25,0.5,W
0.2,0.73,0.65,0.77,0.87,0.42,0.25,0.5,0.6,0.51,0.63,0.75,0.85,0.35,0.16,0.67,W
0.2,0.73,0.65,0.77,0.87,0.42,0.25,0.5,0.4,0.62,0.28,0.69,0.77,0.41,0.29,0.83,L
0.2,0.73,0.65,0.77,0.87,0.42,0.25,0.5,0.8,0.47,0.09,0.69,0.77,0.33,0.19,0.5,W
0.2,0.73,0.65,0.77,0.87,0.42,0.25,0.5,0.4,0.59,0.23,0.71,0.8,0.41,0.26,0.5,W
0.2,0.73,0.65,0.77,0.87,0.42,0.25,0.5,0.4,0.7,0.65,0.77,0.86,0.39,0.22,0.33,W
0.2,0.73,0.65,0.77,0.87,0.42,0.25,0.5,0.2,0.68,0.65,0.76,0.86,0.42,0.23,0.33,W
0.2,0.73,0.65,0.77,0.87,0.42,0.25,0.5,0.4,0.56,0.27,0.71,0.78,0.44,0.25,0.5,W
0.2,0.73,0.65,0.77,0.87,0.42,0.25,0.5,0.4,0.63,0.7,0.8,0.85,0.38,0.18,0.67,W
0.2,0.73,0.65,0.77,0.87,0.42,0.25,0.5,0.2,0.68,0.65,0.76,0.86,0.42,0.23,0.33,W
0.2,0.73,0.65,0.77,0.87,0.42,0.25,0.5,0.2,0.86,0.51,0.75,0.87,0.46,0.35,0.83,L
0.2,0.73,0.65,0.77,0.87,0.42,0.25,0.5,0.6,0.45,0.38,0.73,0.73,0.37,0.26,0.5,W
0.2,0.73,0.65,0.77,0.87,0.42,0.25,0.5,0.8,0.45,0.11,0.66,0.71,0.41,0.22,0.67,W
0.2,0.73,0.65,0.77,0.87,0.42,0.25,0.5,0.4,0.65,0.13,0.69,0.78,0.39,0.31,0.67,L
0.2,0.73,0.65,0.77,0.87,0.42,0.25,0.5,0.4,0.67,0.09,0.67,0.77,0.43,0.31,0.33,W
0.2,0.73,0.65,0.77,0.87,0.42,0.25,0.5,0.8,0.4,0.16,0.66,0.72,0.4,0.29,0.33,W
0.2,0.73,0.65,0.77,0.87,0.42,0.25,0.5,0.6,0.55,0.13,0.7,0.75,0.34,0.23,0.33,W
0.2,0.73,0.65,0.77,0.87,0.42,0.25,0.5,0.8,0.47,0.09,0.69,0.77,0.33,0.19,0.5,W
